,Name,CPU,RAM,Ổ cứng,Card đồ họa,Màn hình,Trọng lượng (kg),Price
174,Asus Vivobook A412FA-EK380T/Core i3-8145U,Core i3,4 GB,SSD 512 GB,Intel HD Graphics 620,"14.0""",1.5,11.490.000 ₫
175,Dell Inspiron N3501A i3 1005G1,Core i3,4 GB,SSD 256 GB,Intel UHD Graphics,"15.6""",1.91,11.440.000 ₫
176,Asus Vivobook A412DA-EK612T/R3-3250U,Ryzen 3,4 GB,SSD 512 GB,AMD Graphics Vega 3,"14.0""",1.5,11.390.000 ₫
177,Lenovo IdeaPad 3 14ARE05 Ryzen 3 4300U/81W3002FVN,Ryzen 3,4 GB,SSD 512 GB,AMD Radeon Graphics,"14.0""",1.5,11.290.000 ₫
178,Asus Vivobook X509JA-EJ247T/i3-1005G1,Core i3,8 GB,SSD 512 GB,Intel UHD Graphics 620,"15.6""",1.90 kg,11.290.000 ₫
179,HP 15s-du2049TX/i3-1005G1,Core i3,4 GB,SSD 256 GB,GeForce MX130 2GB,"15.6""",1.75,11.190.000 ₫
180,Asus Vivobook A412DA-EK347T/R3-3200U,Ryzen 3,4 GB,SSD 512 GB,Radeon Vega 3 Graphics,"14.0""",1.5,11.190.000 ₫
181,Asus Vivobook X509FA-EJ871T/i3-8145U,Core i3,4 GB,SSD 512 GB,Intel UHD Graphics 620,"15.6""",1.9,10.890.000 ₫
182,Dell Inspiron N3493 i3 1005G1/WTW3M2,Core i3,4 GB,SSD 256 GB,Intel UHD Graphics,"14.0""",1.724,10.790.000 ₫
183,Asus Vivobook X409FA-EK470T/i3-8145U,Core i3,4 GB,SSD 512 GB,Intel UHD Graphics 620,"14.0""",1.6,10.690.000 ₫
184,HP 14s-dk1062au/ R3 3250U,Ryzen 3,4 GB,SSD 512 GB,Radeon Vega 3 Graphics,"14.0""",1.47,10.690.000 ₫
185,HP 15s-fq1107TU/i3-1005G1,Core i3,4 GB,SSD 256 GB,Intel UHD Graphics 620,"15.6""",1.65,10.690.000 ₫
186,Asus Vivobook X509JA-EJ371T/i3-1005G1,Core i3,4 GB,SSD 512 GB,Intel UHD Graphics,"15.6""",1.90 kg,10.690.000 ₫
187,HP 348 G7 i3 8130U/9PG80PA,Core i3,4 GB,SSD 256 GB,Card Onboard,"14.0""",1.42,10.690.000 ₫
188,Asus Vivobook X409JA-EK237T/i3-1005G1,Core i3,4 GB,SSD 256 GB,Intel HD Graphics 520,"14.0""",1.6,10.290.000 ₫
189,Asus Vivobook X409JA-EK237T/i3-1005G1,Core i3,4 GB,SSD 256 GB,Intel HD Graphics 520,"14.0""",1.6,10.290.000 ₫
190,Asus Vivobook X409JA-EK312T/i3-1005G1,Core i3,4 GB,SSD 256 GB,Intel UHD Graphics,"14.0""",1.6,10.290.000 ₫
191,HP 14s-dk1055au/R3 3250U,Ryzen 3,4 GB,SSD 256 GB,Radeon Vega 3 Graphics,"14.0""",1.47,9.790.000 ₫
192,Asus Vivobook D409DA-EK500T/R3-3250U,Ryzen 3,4 GB,SSD 256 GB,Radeon Graphics Vega 3,"14.0""",1.9,9.690.000 ₫
193,Acer Aspire 3 A315 23 R8BA R3 3250U/NX.HVUSV.001,Ryzen 3,4 GB,SSD 256 GB,Card Onboard,"15.6""",1.7,9.490.000 ₫
194,Asus Vivobook D409DA-EK110T/R3-3200U,Ryzen 3,4 GB,SSD 256 GB,Radeon Vega 3 Graphics,"14.0""",1.9,9.490.000 ₫
195,Lenovo IdeaPad 3 15ADA05 R3 3250U/81W100GUVN,Ryzen 3,4 GB,SSD 256 GB,Card Onboard,"15.6""",1.5,9.490.000 ₫
196,Lenovo Ideapad S145 - 14API/R3 3200U,Ryzen 3,4 GB,SSD 256 GB,Radeon Vega 3 Graphics,"14.0""",1.6 kg,9.290.000 ₫
